Word	Tag               
Thousands	O            
of	O                   
demonstrators	O        
have	O                 
marched	O              
through	O              
London	B+AC0-geo           
to	O                   
protest	O              
the	O                  
war	O                  
in	O                   
Iraq	B+AC0-geo             
and	O                  
demand	O               
the	O                  
withdrawal	O           
of	O                   
British	B+AC0-gpe          
troops	O               
from	O                 
that	O                 
country	O              
.	O                    
Families	O             
of	O                   
soldiers	O             
killed	O               
in	O                   
the	O                  
conflict	O             
joined	O               
the	O                  
protesters	O           
who	O                  
carried	O              
banners	O              
with	O                 
such	O                 
slogans	O              
as	O                   
+ACIAIgAiACI-	O                 
Bush	B+AC0-per             
Number	O               
One	O                  
Terrorist	O            
+ACIAIgAiACI-	O                 
and	O                  
+ACIAIgAiACI-	O                 
Stop	O                 
the	O                  
Bombings	O             
.	O                    
+ACIAIgAiACI-	O                 
They	O                 
marched	O              
from	O                 
the	O                  
Houses	O               
of	O                   
Parliament	O           
to	O                   
a	O                    
rally	O                
in	O                   
Hyde	B+AC0-geo             
Park	I+AC0-geo             
.	O                    
Police	O               
put	O                  
the	O                  
number	O               
of	O                   
marchers	O             
at	O                   
+ACI-10	CD                 
while	O                
organizers	O           
claimed	O              
it	O                   
was	O                  
1	000                  
.	O                    
The	O                  
protest	O              
comes	O                
on	O                   
the	O                  
eve	O                  
of	O                   
the	O                  
annual	O               
conference	O           
of	O                   
Britain	B+AC0-geo          
's	O                   
ruling	O               
Labor	B+AC0-org            
Party	I+AC0-org            
in	O                   
the	O                  
southern	O             
English	B+AC0-gpe          
seaside	O              
resort	O               
of	O                   
Brighton	B+AC0-geo         
.	O                    
The	O                  
party	O                
is	O                   
divided	O              
over	O                 
Britain	B+AC0-gpe          
's	O                   
participation	O        
in	O                   
the	O                  
Iraq	B+AC0-geo             
conflict	O             
and	O                  
the	O                  
continued	O            
deployment	O           
of	O                   
+ACI-8	CD                  
British	B+AC0-gpe          
troops	O               
in	O                   
that	O                 
country	O              
.	O                    
The	O                  
London	B+AC0-geo           
march	O                
came	O                 
ahead	O                
of	O                   
anti+AC0-war	O             
protests	O             
today	O                
in	O                   
other	O                
cities	O               
	                      
including	O            
Rome	B+AC0-geo             
	                      
Paris	B+AC0-geo            
	                      
and	O                  
Madrid	B+AC0-geo           
.	O                    
The	O                  
International	B+AC0-org    
Atomic	I+AC0-org           
Energy	I+AC0-org           
Agency	I+AC0-org           
is	O                   
to	O                   
hold	O                 
second	O               
day	O                  
of	O                   
talks	O                
in	O                   
Vienna	B+AC0-geo           
Wednesday	B+AC0-tim        
on	O                   
how	O                  
to	O                   
respond	O              
to	O                   
Iran	B+AC0-gpe             
's	O                   
resumption	O           
of	O                   
low+AC0-level	O            
uranium	O              
conversion	O           
.	O                    
Iran	B+AC0-gpe             
this	O                 
week	O                 
restarted	O            
parts	O                
of	O                   
the	O                  
conversion	O           
process	O              
at	O                   
its	O                  
Isfahan	B+AC0-geo          
nuclear	O              
plant	O                
.	O                    
Iranian	B+AC0-gpe          
officials	O            
say	O                  
they	O                 
expect	O               
to	O                   
get	O                  
access	O               
to	O                   
sealed	O               
sensitive	O            
parts	O                
of	O                   
the	O                  
plant	O                
Wednesday	B+AC0-tim        
	                      
after	O                
an	O                   
IAEA	B+AC0-org             
surveillance	O         
system	O               
begins	O               
functioning	O          
.	O                    
The	O                  
step	O                 
will	O                 
allow	O                
the	O                  
facility	O             
to	O                   
operate	O              
at	O                   
full	O                 
capacity	O             
.	O                    
The	O                  
European	B+AC0-org         
Union	I+AC0-org            
	                      
with	O                 
U.S.	B+AC0-gpe             
backing	O              
	                      
has	O                  
threatened	O           
to	O                   
refer	O                
Iran	B+AC0-gpe             
to	O                   
the	O                  
U.N.	B+AC0-org             
Security	I+AC0-org         
Council	I+AC0-org          
	                      
which	O                
could	O                
impose	O               
sanctions	O            
if	O                   
it	O                   
finds	O                
Tehran	B+AC0-gpe           
has	O                  
violated	O             
the	O                  
Nuclear	B+AC0-art          
Non+AC0-Proliferation	I+AC0-art
treaty	O               
.	O                    
Iran	B+AC0-gpe             
's	O                   
new	O                  
President	B+AC0-per        
Mahmoud	I+AC0-per          
Ahmadinejad	I+AC0-per      
said	O                 
Tuesday	B+AC0-tim          
that	O                 
European	B+AC0-gpe         
incentives	O           
aimed	O                
at	O                   
persuading	O           
Iran	B+AC0-gpe             
to	O                   
end	O                  
its	O                  
nuclear	O              
fuel	O                 
program	O              
are	O                  
an	O                   
insult	O               
to	O                   
the	O                  
Iranian	B+AC0-gpe          
nation	O               
.	O                    
Two	O                  
Germans	B+AC0-gpe          
and	O                  
four	O                 
Nigerian	B+AC0-gpe         
oil	O                  
workers	O              
were	O                 
kidnapped	O            
by	O                   
armed	O                
militants	O            
during	O               
a	O                    
raid	O                 
on	O                   
a	O                    
boat	O                 
in	O                   
Nigeria	B+AC0-geo          
's	O                   
southern	O             
oil+AC0-rich	O             
Delta	B+AC0-geo            
region	O               
.	O                    
An	O                   
official	O             
with	O                 
the	O                  
German	B+AC0-gpe           
firm	O                 
Bilfinger	B+AC0-org        
Berger	I+AC0-org           
	                      
Thomas	B+AC0-per           
Horbach	I+AC0-per          
	                      
said	O                 
the	O                  
gunmen	O               
stopped	O              
the	O                  
supply	O               
boat	O                 
Wednesday	B+AC0-tim        
as	O                   
it	O                   
sailed	O               
from	O                 
Delta	B+AC0-geo            
State	I+AC0-geo            
to	O                   
Bayelsa	B+AC0-geo          
State	I+AC0-geo            
to	O                   
inspect	O              
an	O                   
offshore	O             
oil	O                  
field	O                
owned	O                
by	O                   
Royal+AC0-Dutch	B+AC0-org      
Shell	I+AC0-org            
.	O                    
The	O                  
German	B+AC0-gpe           
firm	O                 
works	O                
as	O                   
a	O                    
sub+AC0-contractor	O       
for	O                  
Shell	B+AC0-org            
.	O                    
Militant	O             
groups	O               
frequently	O           
attack	O               
oil	O                  
operations	O           
in	O                   
the	O                  
Niger	B+AC0-geo            
Delta	I+AC0-geo            
to	O                   
demand	O               
social	O               
services	O             
and	O                  
better	O               
job	O                  
opportunities	O        
from	O                 
multinational	O        
companies	O            
.	O                    
Poor	O                 
residents	O            
often	O                
complain	O             
they	O                 
have	O                 
been	O                 
cheated	O              
out	O                  
of	O                   
the	O                  
huge	O                 
riches	O               
extracted	O            
from	O                 
their	O                
tribal	O               
lands	O                
+AC0-	O                    
where	O                
the	O                  
bulk	O                 
of	O                   
Nigeria	B+AC0-gpe          
's	O                   
2.3	O                  
million	O              
barrels	O              
of	O                   
petroleum	O            
are	O                  
pumped	O               
daily	O                
.	O                    
Suspected	O            
Islamist	O             
rebels	O               
have	O                 
fired	O                
mortar	O               
shells	O               
at	O                   
the	O                  
palace	O               
used	O                 
by	O                   
Somalia	B+AC0-geo          
's	O                   
interim	O              
President	B+AC0-per        
Abdullahi	I+AC0-per        
Yusuf	I+AC0-per            
Ahmad	I+AC0-per            
.	O                    
It	O                   
was	O                  
not	O                  
immediately	O          
clear	O                
if	O                   
the	O                  
president	O            
was	O                  
